"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.1","2.9","0.2"
"Liverpool","Liverpool","90.1","2.8","0.4"
"Chelsea","Chelsea","89.3","2.4","0.3"
"Man. United","Manchester Utd","84.9","2.4","0.5"
"Tottenham","Tottenham","74.7","2.1","0.8"
"Brighton","Brighton","74.0","1.9","0.6"
"West Ham","West Ham","75.3","2.1","0.8"
"Everton","Everton","73.6","2.0","0.7"
"Arsenal","Arsenal","76.3","2.0","0.7"
"Leicester","Leicester City","73.8","2.0","0.8"
"Aston Villa","Aston Villa","73.4","2.0","0.8"
"Wolves","Wolves","72.3","1.8","0.7"
"Brentford","Brentford","67.2","1.7","0.8"
"Leeds United","Leeds United","69.5","2.0","0.9"
"Southampton","Southampton","68.0","1.8","0.8"
"Crystal Palace","Crystal Palace","65.9","1.7","0.9"
"Watford","Watford","60.2","1.6","1.0"
"Burnley","Burnley","63.9","1.8","1.0"
"Newcastle","Newcastle Utd","62.1","1.8","1.1"
"Norwich","Norwich City","57.6","1.6","1.1"
