"Original_name","Name","SPI","Off","Def"
"Man. City","Manchester City","93.5","2.9","0.2"
"Liverpool","Liverpool","89.8","2.9","0.5"
"Chelsea","Chelsea","88.7","2.4","0.3"
"Man. United","Manchester Utd","83.4","2.3","0.5"
"Everton","Everton","74.3","2.0","0.7"
"Tottenham","Tottenham","74.4","2.1","0.8"
"Arsenal","Arsenal","76.4","2.0","0.6"
"West Ham","West Ham","75.1","2.1","0.8"
"Brighton","Brighton","74.5","1.8","0.6"
"Aston Villa","Aston Villa","74.2","2.0","0.7"
"Brentford","Brentford","69.3","1.8","0.8"
"Leicester","Leicester City","72.9","2.0","0.8"
"Wolves","Wolves","73.0","1.8","0.6"
"Leeds United","Leeds United","69.9","1.9","0.9"
"Crystal Palace","Crystal Palace","66.9","1.8","0.9"
"Southampton","Southampton","67.6","1.8","0.9"
"Newcastle","Newcastle Utd","63.0","1.8","1.1"
"Burnley","Burnley","63.5","1.7","1.0"
"Watford","Watford","59.4","1.6","1.0"
"Norwich","Norwich City","57.9","1.6","1.0"
